BHK,Price,registration_charges,localities,super_built_up_area,carpet_area,price_per_sqft,bathroom,balconies,status,additional_room,transaction_type,floorNum,funrished_status,address,facing,projectName,Area_sqft,Property_Type,regions,price_in_inr
3.0,₹50 Lac,Not specified,Govindpuri,950.0,900,5263.0,2.0,0.0,Ready to move,Store Room,Resale,3,Unfurnished,govindpuri new delhi.,North - East,UNKNOWN,950.0,Multistorey Apartment,Delhi,5000000.0
4.0,₹85 Lac,"₹5,95,000",Krishna Nagar,1692.0,1500,5023.0,2.0,2.0,Ready to move,Store Room,Resale,3,Semi-Furnished,A2 Radhey Puri near Radhey Puri Jain Mandir,West,UNKNOWN,1692.0,Builder Floor Apartment,Delhi,8500000.0
3.0,₹2.75 Cr,Not specified,Vikaspuri,1800.0,200,15277.0,3.0,3.0,Ready to move,None,Resale,1,Semi-Furnished,A - 24,Not Specified,UNKNOWN,1800.0,Builder Floor Apartment,Delhi,27500000.0
4.0,₹2.35 Cr,Not specified,Mayur Vihar 1,1500.0,1400,15666.0,3.0,0.0,Ready to move,None,Resale,6,Semi-Furnished,Na.,East,UNKNOWN,1500.0,Multistorey Apartment,Delhi,23500000.0
3.0,₹1.7 Cr,"₹11,90,000",Pitampura,1100.0,1000,15454.0,2.0,0.0,Ready to move,None,New Property,1,Semi-Furnished,Pitampura,North,UNKNOWN,1100.0,Builder Floor Apartment,Delhi,17000000.0
3.0,₹1.6 Cr,Not specified,Ip Extension,1000.0,1000,16000.0,2.0,2.0,Ready to move,None,Resale,1,Semi-Furnished,IP Extension,Not Specified,Kakateeya Apartments,1000.0,Multistorey Apartment,Delhi,16000000.0
3.0,₹1.7 Cr,Not specified,Rishabh Vihar,1500.0,1400,11333.0,2.0,0.0,Ready to move,None,Resale,1,Unfurnished,2,North - East,Saini Enclave,1500.0,Multistorey Apartment,Delhi,17000000.0
4.0,₹3 Cr,Not specified,Dwarka Sector 4,2200.0,1806,13636.0,4.0,3.0,Ready to move,None,Resale,4,Semi-Furnished,Sector 4 Dwarka,Not Specified,Patel Apartment,2200.0,Multistorey Apartment,Delhi,30000000.0
4.0,₹1.9 Cr,Not specified,Old Rajendra Nagar,950.0,950,20000.0,4.0,2.0,Not specified,None,New Property,2,Semi-Furnished,30 Block,North - East,UNKNOWN,950.0,Builder Floor Apartment,Delhi,19000000.0
3.0,₹1.8 Cr,Not specified,Mayur Vihar 1,1275.0,1050,14117.0,2.0,0.0,Ready to move,None,Resale,1,Unfurnished,Park Facing Pocket 1,North,DDA Pocket 1,1275.0,Multistorey Apartment,Delhi,18000000.0
4.0,₹6 Cr,"₹42,00,000",Janakpuri Block A1,2925.0,2900,20512.0,4.0,2.0,Ready to move,Servant Room,Resale,2,Semi-Furnished,Janakpuri Block A1,Not Specified,UNKNOWN,2925.0,Builder Floor Apartment,Delhi,60000000.0
3.0,₹58 Lac,Not specified,Dwarka Sector 8,820.0,800,7073.0,2.0,0.0,Ready to move,None,Resale,1,Semi-Furnished,Sector 8 Dwarka,North,UNKNOWN,820.0,Multistorey Apartment,Delhi,5800000.0
5.0,₹86 Lac,Not specified,Gulabi Bagh,1800.0,1478,4777.0,3.0,2.0,Ready to move,Study Room,Resale,3,Semi-Furnished,Gulabi Bagh,North,DDA Flats,1800.0,Multistorey Apartment,Delhi,8600000.0
3.0,₹1.4 Cr,Not specified,Naveen Shahdara,1000.0,900,14000.0,2.0,0.0,Ready to move,None,Resale,4,Unfurnished,Naveen Shahdara,North - East,UNKNOWN,1000.0,Multistorey Apartment,Delhi,14000000.0
4.0,₹3.35 Cr,Not specified,Dwarka Sector 10,2200.0,1700,15227.0,3.0,0.0,Ready to move,Store Room,Resale,3,Unfurnished,Sector 10 Dwarka,North - East,Chandanwari Apartments,2200.0,Multistorey Apartment,Delhi,33500000.0
2.0,₹92 Lac,Not specified,Shiv Nagar,910.0,900,10109.0,2.0,2.0,Ready to move,None,New Property,2,Semi-Furnished,WZ 147B Shiv Nagar Gali no 8,Not Specified,UNKNOWN,910.0,Builder Floor Apartment,Delhi,9200000.0
2.0,₹35 Lac,Not specified,Khasra No 54 Chandan Colony Saidulajab Saket New Delhi,720.0,630,4861.0,2.0,0.0,Ready to move,None,New Property,1,Semi-Furnished,khasra no 54 Chandan colony Saidulajab Saket New Delhi,North - East,UNKNOWN,720.0,Builder Floor Apartment,Delhi,3500000.0
4.0,₹2.5 Cr,Not specified,Jasola Vihar,1800.0,1750,13888.0,3.0,0.0,Ready to move,Store Room,Resale,3,Semi-Furnished,sector 7 jasola vihar new delhi.,Not Specified,DDA SFS Flats,1800.0,Multistorey Apartment,Delhi,25000000.0
3.0,₹2.75 Cr,"₹19,25,000",Janakpuri Block B1,1450.0,1350,18965.0,3.0,2.0,Ready to move,Store Room,Resale,4,Semi-Furnished,B1 Block,Not Specified,UNKNOWN,1450.0,Builder Floor Apartment,Delhi,27500000.0
2.0,₹73 Lac,Not specified,Geeta Colony,885.0,860,8248.0,2.0,0.0,Ready to move,Store Room,Resale,1,Unfurnished,19 Ekta Apartment,East,Ekta Apartment,885.0,Multistorey Apartment,Delhi,7300000.0
2.0,₹38 Lac,Not specified,Patel Garden,1000.0,900,3800.0,2.0,2.0,Ready to move,None,Resale,3,Semi-Furnished,C-46,North - West,UNKNOWN,1000.0,Multistorey Apartment,Delhi,3800000.0
3.0,₹2.35 Cr,Not specified,Dwarka Sector 6,1700.0,1600,13823.0,2.0,3.0,Ready to move,None,Resale,5,Semi-Furnished,Plot no 22 sec 6 Dwarka,North - East,Anusandhan Apartment,1700.0,Multistorey Apartment,Delhi,23500000.0
3.0,₹3.5 Cr,Not specified,Paschim Vihar,1800.0,1800,19444.0,3.0,2.0,Ready to move,None,New Property,1,Unfurnished,Paschim Vihar,North - East,UNKNOWN,1800.0,Builder Floor Apartment,Delhi,35000000.0
3.0,₹3.75 Cr,"₹26,25,000",Jangpura Extension,1900.0,1800,19736.0,3.0,2.0,Ready to move,None,Resale,1,Unfurnished,na,North - East,UNKNOWN,1900.0,Builder Floor Apartment,Delhi,37500000.0
2.0,₹1.08 Cr,Not specified,Ip Extension,950.0,900,11368.0,2.0,0.0,Ready to move,None,Resale,1,Semi-Furnished,IP extension patparganj,North - East,Vidyut Nikunj Apartments,950.0,Multistorey Apartment,Delhi,10800000.0
2.0,₹89 Lac,"₹6,23,000",East Of Kailash,1100.0,1020,8090.0,2.0,2.0,Ready to move,Store Room,New Property,3,Semi-Furnished,Sant Nagar,West,UNKNOWN,1100.0,Builder Floor Apartment,Delhi,8900000.0
2.0,₹2.25 Cr,Not specified,New Delhi,1300.0,1300,17307.0,2.0,2.0,Ready to move,Store Room,Resale,1,Semi-Furnished,New Delhi,South - East,UNKNOWN,1300.0,Multistorey Apartment,Delhi,22500000.0
3.0,₹1.55 Cr,Not specified,Rohini Sector 13,1250.0,1000,12400.0,2.0,2.0,Ready to move,Store Room,Resale,4,Semi-Furnished,Tarun.,North - West,UNKNOWN,1250.0,Multistorey Apartment,Delhi,15500000.0
2.0,₹55 Lac,"₹3,85,000",Saket,1050.0,900,5238.0,2.0,0.0,Ready to move,Servant Room,New Property,2,Semi-Furnished,Freedom fighter enclave,East,UNKNOWN,1050.0,Builder Floor Apartment,Delhi,5500000.0
2.0,₹1.05 Cr,Not specified,Ip Extension,1100.0,900,9545.0,2.0,2.0,Ready to move,Store Room,Resale,3,Unfurnished,Him Vihar Apt Patparganj IP Extension,East,Him Vihar Apartments,1100.0,Multistorey Apartment,Delhi,10500000.0
2.0,₹45 Lac,Not specified,Chhattarpur,740.0,730,6081.0,2.0,0.0,Ready to move,Servant Room,New Property,1,Semi-Furnished,Chhatrapur metro station.,North - East,UNKNOWN,740.0,Multistorey Apartment,Delhi,4500000.0
2.0,₹1.45 Cr,Not specified,Rajapur,990.0,900,14646.0,2.0,2.0,Ready to move,Store Room,Resale,4,Not Specified,Rajapur,North - East,Jaina Apartment,990.0,Multistorey Apartment,Delhi,14500000.0
2.0,₹1.55 Cr,"₹10,85,000",Lajpat Nagar 1,900.0,850,17222.0,2.0,2.0,Ready to move,Store Room,Resale,2,Unfurnished,lpn,North - East,UNKNOWN,900.0,Builder Floor Apartment,Delhi,15500000.0
3.0,₹75 Lac,"₹5,25,000",Mehrauli,1450.0,1400,5172.0,3.0,2.0,Ready to move,None,New Property,2,Unfurnished,ward no-8,South - East,UNKNOWN,1450.0,Residential House,Delhi,7500000.0
2.0,₹1.1 Cr,Not specified,Ip Extension,950.0,790,11578.0,2.0,0.0,Ready to move,Store Room,Resale,1,Not Specified,Near madhu vihar market.,North - West,Meena Apartments,950.0,Multistorey Apartment,Delhi,11000000.0
3.0,₹2.55 Cr,Not specified,Hudson Lane,1440.0,1440,17708.0,3.0,3.0,Ready to move,Servant Room,Resale,1,Semi-Furnished,H.,North,UNKNOWN,1440.0,Multistorey Apartment,Delhi,25500000.0
3.0,₹1.8 Cr,Not specified,Rohini Sector 13,1350.0,1250,13333.0,2.0,2.0,Ready to move,None,Resale,2,Unfurnished,Sector 13 Rohini,North - West,Agroha Kunj Apartment,1350.0,Multistorey Apartment,Delhi,18000000.0
3.0,₹1.65 Cr,"₹11,55,000",East Of Kailash,1260.0,1260,13095.0,3.0,2.0,Ready to move,None,New Property,2,Semi-Furnished,1.,North - East,UNKNOWN,1260.0,Builder Floor Apartment,Delhi,16500000.0
2.0,₹1.5 Cr,Not specified,Vasundhara Enclave,1150.0,944,13043.0,2.0,2.0,Ready to move,Study Room,Resale,7,Semi-Furnished,Vasudha enclave,East,Abhinav Apartment,1150.0,Multistorey Apartment,Delhi,15000000.0
3.0,₹3.5 Cr,"₹24,50,000",Rajouri Garden,1820.0,1800,19230.0,3.0,2.0,Ready to move,Store Room,New Property,4,Semi-Furnished,Rajouri Garden Delhi West,North - East,UNKNOWN,1820.0,Builder Floor Apartment,Delhi,35000000.0
2.0,₹2.1 Cr,Not specified,Kalkaji,1100.0,903,19090.0,2.0,0.0,Ready to move,Study Room,Resale,1,Not Specified,Kalkaji,North - East,Deshbandhu Apartments,1100.0,Multistorey Apartment,Delhi,21000000.0
3.0,₹2.8 Cr,"₹19,60,000",Janakpuri,1350.0,1325,20740.0,3.0,2.0,Ready to move,Store Room,Resale,4,Unfurnished,Janakpuri.,North - West,UNKNOWN,1350.0,Builder Floor Apartment,Delhi,28000000.0
3.0,₹2.3 Cr,Not specified,Mayur Vihar 1,1450.0,1190,15862.0,2.0,3.0,Ready to move,Servant Room,Resale,4,Unfurnished,spacious,East,Supreme Enclave,1450.0,Multistorey Apartment,Delhi,23000000.0
3.0,₹65 Lac,"₹4,55,000",Rohini Sector 29,850.0,800,7647.0,2.0,2.0,Not specified,Store Room,New Property,4,Semi-Furnished,pocket b3,North,UNKNOWN,850.0,Builder Floor Apartment,Delhi,6500000.0
2.0,₹1.2 Cr,"₹8,40,000",Vikaspuri,950.0,780,12631.0,2.0,2.0,Ready to move,Study Room,New Property,1,Unfurnished,Vikaspuri,North,UNKNOWN,950.0,Builder Floor Apartment,Delhi,12000000.0
4.0,₹2.8 Cr,Not specified,Alaknanda,2200.0,1800,12727.0,4.0,0.0,Ready to move,Store Room,Resale,4,Furnished,Alaknanda,North - East,DDA Nilgiri Apartment,2200.0,Multistorey Apartment,Delhi,28000000.0
3.0,₹3.3 Cr,Not specified,Sheikh Sarai Phase 1,1850.0,1750,17837.0,3.0,0.0,Ready to move,Store Room,Resale,2,Semi-Furnished,sheikh sarai i,East,UNKNOWN,1850.0,Multistorey Apartment,Delhi,33000000.0
3.0,₹4.5 Cr,"₹31,50,000",Greater Kailash 1,1872.0,1537,24038.0,3.0,2.0,Ready to move,Servant Room,Resale,4,Unfurnished,GK I,North,UNKNOWN,1872.0,Builder Floor Apartment,Delhi,45000000.0
3.0,₹2.7 Cr,Not specified,H Block Saket,1600.0,1500,16875.0,2.0,0.0,Ready to move,Store Room,New Property,3,Semi-Furnished,saket H belok DDA flat RWA socity,North,UNKNOWN,1600.0,Multistorey Apartment,Delhi,27000000.0
2.0,₹1.08 Cr,Not specified,Rohini Sector 13,750.0,650,14400.0,2.0,0.0,Ready to move,None,Resale,2,Unfurnished,Pocket 45,South - East,Kewal Kunj Apartment,750.0,Multistorey Apartment,Delhi,10800000.0
3.0,₹2.65 Cr,Not specified,B Block Sarita Vihar New Delhi.,1600.0,1550,16562.0,3.0,2.0,Ready to move,Store Room,Resale,3,Unfurnished,B block sarita vihar new delhi.,East,UNKNOWN,1600.0,Multistorey Apartment,Delhi,26500000.0
2.0,₹1.05 Cr,Not specified,Ip Extension,1100.0,1000,9545.0,2.0,0.0,Ready to move,Store Room,Resale,4,Semi-Furnished,patparganj,North - West,Kirpal Apartment,1100.0,Multistorey Apartment,Delhi,10500000.0
3.0,₹2.5 Cr,Not specified,Saket,1350.0,1350,18518.0,2.0,2.0,Ready to move,None,Resale,1,Unfurnished,Saket,North - East,DDA Golf View Apartments,1350.0,Multistorey Apartment,Delhi,25000000.0
2.0,₹1.9 Cr,Not specified,Alaknanda,1200.0,1100,15833.0,2.0,2.0,Ready to move,Study Room,Resale,3,Unfurnished,Yamuna apartment,East,DDA Yamuna Apartment,1200.0,Multistorey Apartment,Delhi,19000000.0
2.0,₹63 Lac,"₹4,41,000",Pitampura,1000.0,900,6300.0,2.0,0.0,Ready to move,None,Resale,2,Furnished,Pitampura,North - East,UNKNOWN,1000.0,Builder Floor Apartment,Delhi,6300000.0
4.0,₹5.1 Cr,"₹35,70,000",Bali Nagar.,2400.0,2000,21250.0,4.0,2.0,Not specified,Servant Room,New Property,2,Semi-Furnished,Bali nagar.,North - East,UNKNOWN,2400.0,Builder Floor Apartment,Delhi,51000000.0
2.0,₹1.17 Cr,Not specified,Rohini Sector 18,1000.0,950,11700.0,2.0,0.0,Ready to move,None,Resale,3,Semi-Furnished,Sector 18 Rohini,North - East,DDA Millennium Apartment,1000.0,Multistorey Apartment,Delhi,11700000.0
2.0,₹1.1 Cr,Not specified,Mayur Vihar 1,1176.0,965,9353.0,2.0,0.0,Ready to move,Store Room,Resale,1,Semi-Furnished,eastend aptment,East,East End Apartments,1176.0,Multistorey Apartment,Delhi,11000000.0
3.0,₹1.2 Cr,Not specified,Mayur Vihar Phase 2,1200.0,1150,10000.0,2.0,0.0,Ready to move,None,Resale,1,Semi-Furnished,Mayur Vihar Phase 2,East,DDA Pocket F,1200.0,Multistorey Apartment,Delhi,12000000.0
2.0,₹1.8 Cr,"₹12,60,000",Chittaranjan Park,1125.0,1125,16000.0,2.0,2.0,Ready to move,Servant Room,Resale,3,Semi-Furnished,CR Park,South - East,UNKNOWN,1125.0,Builder Floor Apartment,Delhi,18000000.0
3.0,₹3.75 Cr,Not specified,Patel Nagar West,1800.0,1800,20833.0,3.0,3.0,Ready to move,None,New Property,3,Semi-Furnished,near rock garden,North,UNKNOWN,1800.0,Builder Floor Apartment,Delhi,37500000.0
3.0,₹5.75 Cr,Not specified,Plot No B,2752.0,2455,20893.0,4.0,3.0,Not specified,None,New Property,2,Furnished,Plot No B,North - East,Godrej South Estate,2752.0,Multistorey Apartment,Delhi,57500000.0
3.0,₹2 Cr,Not specified,Sarita Vihar Pocket H,1650.0,1650,12121.0,2.0,3.0,Ready to move,Servant Room,Resale,2,Not Specified,Duplex Pocket- H Sarita Vihar,North - West,DDA Mig Flats Sarita Vihar,1650.0,Multistorey Apartment,Delhi,20000000.0
3.0,₹1.75 Cr,Not specified,Siddhartha Extension,1400.0,1300,12500.0,2.0,0.0,Ready to move,Store Room,Resale,1,Semi-Furnished,Siddhartha Extension,East,UNKNOWN,1400.0,Multistorey Apartment,Delhi,17500000.0
3.0,₹4.2 Cr,"₹29,40,000",Vasant Kunj,1700.0,1700,24705.0,3.0,3.0,Ready to move,Store Room,Resale,3,Unfurnished,Vasant Kunj,East,UNKNOWN,1700.0,Builder Floor Apartment,Delhi,42000000.0
3.0,₹55 Lac,Not specified,Shaheen Bagh,750.0,720,7333.0,2.0,0.0,Ready to move,None,Resale,1,Semi-Furnished,Shaheen bagh abul fazal enclave part 2 new delhi.,South,UNKNOWN,750.0,Multistorey Apartment,Delhi,5500000.0
2.0,₹48 Lac,Not specified,Naveen Shahdara,783.0,650,6130.0,2.0,0.0,Ready to move,None,Resale,3,Semi-Furnished,1/1892.,East,UNKNOWN,783.0,Builder Floor Apartment,Delhi,4800000.0
3.0,₹60 Lac,Not specified,Sadh Nagar,900.0,860,6666.0,2.0,2.0,Ready to move,None,Resale,4,Semi-Furnished,Sadh Nagar,North,UNKNOWN,900.0,Builder Floor Apartment,Delhi,6000000.0
4.0,₹82 Lac,Not specified,Uttam Nagar,900.0,850,9111.0,2.0,0.0,Ready to move,Store Room,Resale,1,Unfurnished,Uttam nagar Hastsal vihar,Not Specified,UNKNOWN,900.0,Residential House,Delhi,8200000.0
2.0,₹95 Lac,"₹6,65,000",Kirti Nagar,900.0,100,10555.0,2.0,2.0,Ready to move,None,Resale,3,Semi-Furnished,e-4,Not Specified,UNKNOWN,900.0,Builder Floor Apartment,Delhi,9500000.0
3.0,₹55 Lac,Not specified,Uttam Nagar,900.0,713,6111.0,2.0,0.0,Ready to move,None,Resale,4,Semi-Furnished,V Block,Not Specified,UNKNOWN,900.0,Multistorey Apartment,Delhi,5500000.0
3.0,₹2.55 Cr,Not specified,New Rajendra Nagar,2000.0,1900,12750.0,2.0,2.0,Ready to move,Study Room,Resale,1,Semi-Furnished,349-350,North - East,UNKNOWN,2000.0,Builder Floor Apartment,Delhi,25500000.0
3.0,₹51.5 Lac,Not specified,Uttam Nagar,1100.0,990,4681.0,3.0,2.0,Ready to move,None,Resale,1,Unfurnished,A116 Upper ground Gulab bagh Uttam Nagar,Not Specified,UNKNOWN,1100.0,Builder Floor Apartment,Delhi,5150000.0
2.0,₹1.1 Cr,Not specified,Dwarka,1060.0,900,10377.0,2.0,3.0,Ready to move,None,Resale,1,Unfurnished,Flat No- 284 Adarsh Apartment Sec-3 Pocket 16 Dwarka,South,UNKNOWN,1060.0,Multistorey Apartment,Delhi,11000000.0
3.0,₹70 Lac,Not specified,Hari Nagar,800.0,656,8750.0,2.0,0.0,Ready to move,None,Resale,2,Semi-Furnished,WZ J -70,Not Specified,UNKNOWN,800.0,Builder Floor Apartment,Delhi,7000000.0
4.0,₹2.25 Cr,Not specified,Rajouri Garden,2000.0,1650,11250.0,3.0,2.0,Ready to move,Store Room,New Property,1,Semi-Furnished,W Block,Not Specified,UNKNOWN,2000.0,Builder Floor Apartment,Delhi,22500000.0
4.0,₹1.4 Cr,Not specified,Vikaspuri,1300.0,1200,10769.0,4.0,4.0,Ready to move,Store Room,Resale,3,Furnished,Vikaspuri,Not Specified,AG1 Pocket Vikaspuri,1300.0,Multistorey Apartment,Delhi,14000000.0
3.0,₹2.98 Cr,Not specified,Lajpat Nagar 2,1800.0,1800,16555.0,3.0,3.0,Ready to move,None,Resale,2,Unfurnished,Lajpat Nagar 2,Not Specified,UNKNOWN,1800.0,Builder Floor Apartment,Delhi,29800000.0
2.0,₹65 Lac,"₹4,55,000",Lajwanti Garden,700.0,675,9285.0,2.0,2.0,Ready to move,None,Resale,3,Semi-Furnished,2nd Floor,North - East,UNKNOWN,700.0,Builder Floor Apartment,Delhi,6500000.0
4.0,₹1.85 Cr,"₹12,95,000",East Krishna Nagar,1620.0,1500,11419.0,3.0,0.0,Ready to move,None,Resale,1,Semi-Furnished,East Krishna Nagar,East,UNKNOWN,1620.0,Builder Floor Apartment,Delhi,18500000.0
3.0,₹75 Lac,"₹5,25,000",Uttam Nagar,1200.0,1100,6250.0,3.0,2.0,Ready to move,Store Room,Resale,2,Unfurnished,C11 Sanjay Enclave Uttam Nagar,Not Specified,UNKNOWN,1200.0,Residential House,Delhi,7500000.0
3.0,₹95 Lac,Not specified,Hari Nagar,1000.0,990,9500.0,2.0,0.0,Ready to move,None,New Property,4,Semi-Furnished,B-52.,South,UNKNOWN,1000.0,Builder Floor Apartment,Delhi,9500000.0
4.0,₹2 Cr,Not specified,Karam Pura,914.0,890,21881.0,4.0,4.0,Ready to move,Store Room,Resale,2,Semi-Furnished,DDA Flats Karam pura,North - East,UNKNOWN,914.0,Multistorey Apartment,Delhi,20000000.0
4.0,₹1.6 Cr,Not specified,Inderpuri,1140.0,1090,14035.0,3.0,3.0,Ready to move,None,Resale,2,Semi-Furnished,EF Block,West,UNKNOWN,1140.0,Builder Floor Apartment,Delhi,16000000.0
2.0,₹5 Cr,Not specified,Panchsheel Park,2525.0,2272,19801.0,3.0,0.0,Ready to move,None,Resale,4,Semi-Furnished,S Blocks Panchsheel Park New Delhi.,North,UNKNOWN,2525.0,Builder Floor Apartment,Delhi,50000000.0
3.0,₹1.25 Cr,Not specified,Kirti Nagar,1125.0,923,11111.0,2.0,0.0,Ready to move,None,Resale,Not specified,Not Specified,Kirti Nagar,Not Specified,UNKNOWN,1125.0,Builder Floor Apartment,Delhi,12500000.0
2.0,₹25 Lac,Not specified,Chhattarpur,700.0,675,3571.0,2.0,3.0,Ready to move,None,Resale,1,Unfurnished,Chhattarpur,South - East,UNKNOWN,700.0,Multistorey Apartment,Delhi,2500000.0
4.0,₹60 Lac,Not specified,Palam Colony,1114.0,1010,5385.0,2.0,0.0,Ready to move,None,Resale,3,Semi-Furnished,Raj Nagar 2,South -West,UNKNOWN,1114.0,Multistorey Apartment,Delhi,6000000.0
2.0,₹1.9 Cr,Not specified,Paschim Vihar,1200.0,985,15833.0,2.0,0.0,Ready to move,None,Resale,1,Semi-Furnished,70 SFS flats Pragati apartment,Not Specified,DDA Pragati Apartment,1200.0,Multistorey Apartment,Delhi,19000000.0
3.0,₹1.25 Cr,"₹8,75,000",Shastri Nagar,1200.0,900,10416.0,3.0,2.0,Ready to move,None,Resale,3,Semi-Furnished,Shastri Nagar,Not Specified,UNKNOWN,1200.0,Builder Floor Apartment,Delhi,12500000.0
2.0,₹80 Lac,Not specified,Rohini Sector 28,1100.0,903,7272.0,2.0,2.0,Ready to move,None,Resale,2,Unfurnished,Pocket GH 1 Sect 28 Rohini Delhi,North - East,DDA GH 3 Rohini,1100.0,Builder Floor Apartment,Delhi,8000000.0
4.0,₹2.5 Cr,Not specified,Alaknanda,2100.0,2100,11904.0,4.0,0.0,Ready to move,None,Other,2,Semi-Furnished,Alaknanda,Not Specified,UNKNOWN,2100.0,Multistorey Apartment,Delhi,25000000.0
3.0,₹2.8 Cr,Not specified,Dwarka Sector 2,1700.0,1395,16470.0,3.0,4.0,Ready to move,None,Resale,2,Semi-Furnished,A201,Not Specified,Ashadeep Apartment,1700.0,Multistorey Apartment,Delhi,28000000.0
2.0,₹90 Lac,"₹6,30,000",Malviya Nagar,950.0,900,9473.0,2.0,0.0,Ready to move,None,Resale,2,Unfurnished,90Block,North - East,UNKNOWN,950.0,Builder Floor Apartment,Delhi,9000000.0
2.0,₹1.32 Cr,Not specified,Rohini Sector 9,1000.0,821,13200.0,2.0,0.0,Ready to move,Store Room,Resale,2,Semi-Furnished,Mayur apartament sector 9 Rohini Delhi,East,Mayur Apartment,1000.0,Multistorey Apartment,Delhi,13200000.0
2.0,₹2.5 Cr,Not specified,Saket,1300.0,1067,19230.0,2.0,2.0,Ready to move,Store Room,Resale,2,Unfurnished,Saket DDA SFS Block H SFS Flats New Delhi,East,Rwa DDA flat H Block,1300.0,Multistorey Apartment,Delhi,25000000.0
3.0,₹2.2 Cr,Not specified,Vasundhara Enclave,1500.0,1400,14666.0,3.0,2.0,Ready to move,None,Resale,4,Semi-Furnished,Vasundhara Enclave,East,Highland apartment,1500.0,Multistorey Apartment,Delhi,22000000.0
2.0,₹1.8 Cr,Not specified,Alaknanda,1100.0,1000,16363.0,2.0,0.0,Ready to move,Store Room,Resale,1,Not Specified,Shivalik Apartment,South -West,DDA Shivalik Apartments,1100.0,Multistorey Apartment,Delhi,18000000.0
3.0,₹2.15 Cr,Not specified,Rohini Sector 9,1200.0,1100,17916.0,2.0,0.0,Ready to move,None,Resale,1,Semi-Furnished,Delhi,East,DDA Vasudha Apartment,1200.0,Multistorey Apartment,Delhi,21500000.0
3.0,₹2.1 Cr,Not specified,Rohini Sector 9,1450.0,1250,14482.0,2.0,2.0,Ready to move,None,Resale,1,Unfurnished,1st floor,North - East,DDA Ganga Triveni Apartment,1450.0,Multistorey Apartment,Delhi,21000000.0
2.0,₹1 Cr,Not specified,Vasundhara Enclave,1050.0,862,9523.0,2.0,2.0,Ready to move,Study Room,Resale,3,Semi-Furnished,Vasundhara Enclave,North - East,CEL Apartment,1050.0,Multistorey Apartment,Delhi,10000000.0
2.0,₹5.3 Cr,Not specified,Okhla,2234.0,1834,23724.0,3.0,3.0,Ready to move,Study Room,Resale,10,Unfurnished,Okhla,East,Godrej South Estate,2234.0,Multistorey Apartment,Delhi,53000000.0
3.0,₹1.9 Cr,Not specified,Mayur Vihar 1,1300.0,1100,14615.0,3.0,3.0,Ready to move,None,Resale,5,Semi-Furnished,Mayur Vihar 1,North - East,Anandlok Housing Society,1300.0,Multistorey Apartment,Delhi,19000000.0
3.0,₹4.45 Cr,Not specified,Saket,1800.0,1450,24722.0,3.0,3.0,Ready to move,Store Room,New Property,1,Semi-Furnished,Saket,South,DDA Flats Block D,1800.0,Builder Floor Apartment,Delhi,44500000.0
3.0,₹2.5 Cr,Not specified,Rohini Sector 9,1500.0,1400,16666.0,2.0,2.0,Ready to move,None,Resale,2,Semi-Furnished,Plot no - 2,Not Specified,New Swastik Apartment,1500.0,Multistorey Apartment,Delhi,25000000.0
3.0,₹1.75 Cr,Not specified,Society Flat 3 Bedroom Drawing Dining Two Toilet Bathroom.,1250.0,1000,14000.0,2.0,2.0,Ready to move,Store Room,Resale,2,Semi-Furnished,Society flat 3 bedroom drawing dining two toilet bathroom.,East,UNKNOWN,1250.0,Multistorey Apartment,Delhi,17500000.0
3.0,₹2.27 Cr,"₹15,89,000",Mansarovar Garden,1350.0,1350,16814.0,3.0,2.0,Ready to move,None,New Property,1,Semi-Furnished,Mansarovar garden,Not Specified,UNKNOWN,1350.0,Builder Floor Apartment,Delhi,22700000.0
2.0,₹1.49 Cr,Not specified,Sarita Vihar,1300.0,1200,11461.0,2.0,3.0,Ready to move,Store Room,Resale,1,Not Specified,Sarita Vihar,East,DDA Flats,1300.0,Multistorey Apartment,Delhi,14900000.0
3.0,₹1.5 Cr,Not specified,Vasundhara Enclave,1469.0,1400,10211.0,2.0,2.0,Ready to move,None,Resale,1,Furnished,Vasundhara Enclave,North - East,DDA Samrat Apartment,1469.0,Multistorey Apartment,Delhi,15000000.0
3.0,₹5.8 Cr,Not specified,Bijwasan,2409.0,2050,24076.0,3.0,3.0,Not specified,Study Room,Resale,7,Semi-Furnished,Bijwasan,North,TARC Tripundra,2409.0,Multistorey Apartment,Delhi,58000000.0
3.0,₹2.7 Cr,"₹18,90,000",Pitampura,1350.0,1350,20000.0,2.0,2.0,Ready to move,None,New Property,1,Unfurnished,1234.,North - East,Maurya Enclave,1350.0,Builder Floor Apartment,Delhi,27000000.0
2.0,₹95 Lac,Not specified,Parvatiya Apartment,1200.0,1050,7916.0,2.0,2.0,Ready to move,Store Room,Resale,1,Semi-Furnished,parvatiya apartment,East,UNKNOWN,1200.0,Multistorey Apartment,Delhi,9500000.0
3.0,₹80 Lac,"₹5,60,000",Hari Enclave,1000.0,1000,8000.0,2.0,2.0,Ready to move,None,Resale,1,Unfurnished,C Block,North - East,Hari Enclave,1000.0,Builder Floor Apartment,Delhi,8000000.0
3.0,₹1.85 Cr,Not specified,Rohini Sector 13,1300.0,1250,14230.0,2.0,0.0,Ready to move,None,Resale,2,Semi-Furnished,Sector 13 Rohini,Not Specified,Sai Apartment,1300.0,Multistorey Apartment,Delhi,18500000.0
